timestamp,elapsed_sec,root_pid,proc_count,rss_kb,rss_mib
2026-04-13T22:45:35,0.043,2850423,17,1725404,1684.965
2026-04-13T22:45:36,1.089,2850423,17,1725376,1684.938
2026-04-13T22:45:37,2.137,2850423,17,1725384,1684.945
2026-04-13T22:45:38,3.179,2850423,17,1725384,1684.945
2026-04-13T22:45:39,4.222,2850423,17,1725384,1684.945
2026-04-13T22:45:40,5.289,2850423,17,1725356,1684.918
2026-04-13T22:45:41,6.340,2850423,17,1725384,1684.945
2026-04-13T22:45:42,7.493,2850423,17,1725384,1684.945
2026-04-13T22:45:44,8.539,2850423,17,1725420,1684.980
2026-04-13T22:45:45,9.588,2850423,17,1725420,1684.980
2026-04-13T22:45:46,10.632,2850423,17,1725388,1684.949
2026-04-13T22:45:47,11.688,2850423,17,1725452,1685.012
2026-04-13T22:45:48,12.738,2850423,17,1725380,1684.941
2026-04-13T22:45:49,13.797,2850423,17,1725352,1684.914
2026-04-13T22:45:50,14.841,2850423,17,1725352,1684.914
2026-04-13T22:45:51,15.894,2850423,17,1725352,1684.914
2026-04-13T22:45:52,16.940,2850423,17,1725352,1684.914
2026-04-13T22:45:53,17.988,2850423,17,1725312,1684.875
2026-04-13T22:45:54,19.056,2850423,17,1725344,1684.906
2026-04-13T22:45:55,20.102,2850423,17,1725344,1684.906
2026-04-13T22:45:56,21.146,2850423,17,1725272,1684.836
2026-04-13T22:45:57,22.199,2850423,17,1725304,1684.867
2026-04-13T22:45:58,23.272,2850423,17,1725304,1684.867
2026-04-13T22:45:59,24.320,2850423,17,1725304,1684.867
2026-04-13T22:46:00,25.385,2850423,17,1725276,1684.840
2026-04-13T22:46:01,26.439,2850423,17,1725332,1684.895
2026-04-13T22:46:02,27.506,2850423,17,1725308,1684.871
2026-04-13T22:46:04,28.557,2850423,17,1725308,1684.871
2026-04-13T22:46:05,29.613,2850423,17,1725312,1684.875
2026-04-13T22:46:06,30.682,2850423,17,1725248,1684.812
2026-04-13T22:46:07,31.732,2850423,17,1725272,1684.836
2026-04-13T22:46:08,32.780,2850423,17,1725280,1684.844
2026-04-13T22:46:09,33.826,2850423,17,1725288,1684.852
2026-04-13T22:46:10,34.869,2850423,17,1725288,1684.852
2026-04-13T22:46:11,35.923,2850423,17,1725240,1684.805
2026-04-13T22:46:12,36.968,2850423,17,1725288,1684.852
2026-04-13T22:46:13,38.009,2850423,17,1725392,1684.953
2026-04-13T22:46:14,39.060,2850423,17,1725372,1684.934
2026-04-13T22:46:15,40.104,2850423,17,1725352,1684.914
2026-04-13T22:46:16,41.161,2850423,17,1725396,1684.957
2026-04-13T22:46:17,42.233,2850423,17,1725468,1685.027
2026-04-13T22:46:18,43.281,2850423,17,1725468,1685.027
2026-04-13T22:46:19,44.325,2850423,17,1725468,1685.027
2026-04-13T22:46:20,45.390,2850423,17,1725404,1684.965
2026-04-13T22:46:21,46.435,2850423,17,1725436,1684.996
2026-04-13T22:46:22,47.483,2850423,17,1725440,1685.000
2026-04-13T22:46:24,48.537,2850423,17,1725432,1684.992
2026-04-13T22:46:25,49.612,2850423,17,1725472,1685.031
2026-04-13T22:46:26,50.683,2850423,17,1725444,1685.004
2026-04-13T22:46:27,51.727,2850423,17,1725412,1684.973
2026-04-13T22:46:28,52.832,2850423,17,1725444,1685.004
2026-04-13T22:46:29,53.882,2850423,17,1725416,1684.977
2026-04-13T22:46:30,54.942,2850423,17,1725448,1685.008
2026-04-13T22:46:31,55.994,2850423,17,1725344,1684.906
2026-04-13T22:46:32,57.062,2850423,17,1725288,1684.852
2026-04-13T22:46:33,58.135,2850423,17,1725352,1684.914
2026-04-13T22:46:34,59.216,2850423,17,1725360,1684.922
2026-04-13T22:46:35,60.291,2850423,17,1725328,1684.891
2026-04-13T22:46:36,61.384,2850423,17,1725288,1684.852
2026-04-13T22:46:37,62.432,2850423,17,1725360,1684.922
2026-04-13T22:46:38,63.479,2850423,17,1725392,1684.953
2026-04-13T22:46:40,64.535,2850423,17,1725408,1684.969
2026-04-13T22:46:41,65.576,2850423,17,1725432,1684.992
2026-04-13T22:46:42,66.623,2850423,17,1725432,1684.992
2026-04-13T22:46:43,67.690,2850423,17,1725400,1684.961
2026-04-13T22:46:44,68.741,2850423,17,1725400,1684.961
2026-04-13T22:46:45,69.801,2850423,17,1725400,1684.961
2026-04-13T22:46:46,70.854,2850423,17,1725400,1684.961
2026-04-13T22:46:47,71.903,2850423,17,1725464,1685.023
2026-04-13T22:46:48,73.034,2850423,17,1725468,1685.027
2026-04-13T22:46:49,74.132,2850423,17,1725480,1685.039
2026-04-13T22:46:50,75.187,2850423,17,1725504,1685.062
2026-04-13T22:46:51,76.237,2850423,17,1725520,1685.078
2026-04-13T22:46:52,77.323,2850423,17,1725408,1684.969
2026-04-13T22:46:53,78.375,2850423,17,1725512,1685.070
2026-04-13T22:46:54,79.447,2850423,17,1725508,1685.066
2026-04-13T22:46:55,80.521,2850423,17,1725484,1685.043
2026-04-13T22:46:57,81.591,2850423,17,1725440,1685.000
2026-04-13T22:46:58,82.638,2850423,17,1725452,1685.012
2026-04-13T22:46:59,83.689,2850423,17,1725452,1685.012
2026-04-13T22:47:00,84.791,2850423,17,1725380,1684.941
2026-04-13T22:47:01,85.845,2850423,17,1725380,1684.941
2026-04-13T22:47:02,86.921,2850423,17,1725380,1684.941
2026-04-13T22:47:03,88.055,2850423,17,1725452,1685.012
2026-04-13T22:47:04,89.099,2850423,17,1725500,1685.059
2026-04-13T22:47:05,90.164,2850423,17,1725516,1685.074
2026-04-13T22:47:06,91.221,2850423,17,1725432,1684.992
2026-04-13T22:47:07,92.326,2850423,17,1725424,1684.984
2026-04-13T22:47:08,93.371,2850423,17,1725424,1684.984
2026-04-13T22:47:09,94.423,2850423,17,1725424,1684.984
2026-04-13T22:47:10,95.469,2850423,17,1725424,1684.984
2026-04-13T22:47:11,96.521,2850423,17,1725424,1684.984
2026-04-13T22:47:13,97.614,2850423,17,1725352,1684.914
2026-04-13T22:47:14,98.690,2850423,17,1725492,1685.051
2026-04-13T22:47:15,99.763,2850423,17,1725524,1685.082
2026-04-13T22:47:16,100.850,2850423,17,1725524,1685.082
2026-04-13T22:47:17,101.895,2850423,17,1725452,1685.012
2026-04-13T22:47:18,102.948,2850423,17,1725452,1685.012
2026-04-13T22:47:19,104.002,2850423,17,1725456,1685.016
2026-04-13T22:47:20,105.092,2850423,17,1725488,1685.047
2026-04-13T22:47:21,106.146,2850423,17,1725476,1685.035
2026-04-13T22:47:22,107.207,2850423,17,1725436,1684.996
2026-04-13T22:47:23,108.286,2850423,17,1725424,1684.984
2026-04-13T22:47:24,109.340,2850423,17,1725424,1684.984
2026-04-13T22:47:25,110.406,2850423,17,1725392,1684.953
2026-04-13T22:47:26,111.455,2850423,17,1725392,1684.953
2026-04-13T22:47:28,112.530,2850423,17,1725364,1684.926
2026-04-13T22:47:29,113.579,2850423,17,1725364,1684.926
2026-04-13T22:47:30,114.630,2850423,17,1725436,1684.996
2026-04-13T22:47:31,115.685,2850423,17,1725404,1684.965
2026-04-13T22:47:32,116.740,2850423,17,1725392,1684.953
2026-04-13T22:47:33,117.793,2850423,17,1725364,1684.926
2026-04-13T22:47:34,118.867,2850423,17,1725400,1684.961
2026-04-13T22:47:35,119.950,2850423,17,1725400,1684.961
2026-04-13T22:47:36,121.021,2850423,17,1725400,1684.961
2026-04-13T22:47:37,122.069,2850423,17,1725400,1684.961
2026-04-13T22:47:38,123.123,2850423,17,1725368,1684.930
2026-04-13T22:47:39,124.177,2850423,17,1725432,1684.992
2026-04-13T22:47:40,125.229,2850423,17,1725432,1684.992
2026-04-13T22:47:41,126.287,2850423,17,1725432,1684.992
2026-04-13T22:47:42,127.341,2850423,17,1725360,1684.922
2026-04-13T22:47:43,128.391,2850423,17,1725392,1684.953
2026-04-13T22:47:44,129.443,2850423,17,1725428,1684.988
2026-04-13T22:47:45,130.493,2850423,17,1725428,1684.988
2026-04-13T22:47:47,131.568,2850423,17,1725500,1685.059
2026-04-13T22:47:48,132.612,2850423,17,1725500,1685.059
2026-04-13T22:47:49,133.661,2850423,17,1725468,1685.027
2026-04-13T22:47:50,134.709,2850423,17,1725460,1685.020
2026-04-13T22:47:51,135.754,2850423,17,1725432,1684.992
2026-04-13T22:47:52,136.829,2850423,17,1725384,1684.945
2026-04-13T22:47:53,137.936,2850423,17,1725352,1684.914
2026-04-13T22:47:54,139.014,2850423,17,1725440,1685.000
2026-04-13T22:47:55,140.098,2850423,17,1725432,1684.992
2026-04-13T22:47:56,141.182,2850423,17,1725432,1684.992
2026-04-13T22:47:57,142.223,2850423,17,1725528,1685.086
2026-04-13T22:47:58,143.272,2850423,17,1725464,1685.023
2026-04-13T22:47:59,144.363,2850423,17,1725464,1685.023
2026-04-13T22:48:00,145.411,2850423,17,1725464,1685.023
2026-04-13T22:48:01,146.466,2850423,17,1725500,1685.059
2026-04-13T22:48:02,147.513,2850423,17,1725468,1685.027
2026-04-13T22:48:04,148.560,2850423,17,1725480,1685.039
2026-04-13T22:48:05,149.614,2850423,17,1725468,1685.027
2026-04-13T22:48:06,150.708,2850423,17,1725428,1684.988
2026-04-13T22:48:07,151.781,2850423,17,1725460,1685.020
2026-04-13T22:48:08,152.844,2850423,17,1725492,1685.051
2026-04-13T22:48:09,153.902,2850423,17,1725464,1685.023
2026-04-13T22:48:10,154.957,2850423,17,1725504,1685.062
2026-04-13T22:48:11,156.019,2850423,17,1725544,1685.102
2026-04-13T22:48:12,157.071,2850423,17,1725496,1685.055
2026-04-13T22:48:13,158.128,2850423,17,1725412,1684.973
2026-04-13T22:48:14,159.180,2850423,17,1725444,1685.004
2026-04-13T22:48:15,160.229,2850423,17,1725480,1685.039
2026-04-13T22:48:16,161.279,2850423,17,1725480,1685.039
2026-04-13T22:48:17,162.341,2850423,17,1725512,1685.070
2026-04-13T22:48:18,163.383,2850423,17,1725512,1685.070
2026-04-13T22:48:19,164.426,2850423,17,1725512,1685.070
2026-04-13T22:48:20,165.468,2850423,17,1725484,1685.043
2026-04-13T22:48:21,166.524,2850423,17,1725500,1685.059
2026-04-13T22:48:23,167.576,2850423,17,1725484,1685.043
2026-04-13T22:48:24,168.618,2850423,17,1725452,1685.012
2026-04-13T22:48:25,169.684,2850423,17,1725452,1685.012
2026-04-13T22:48:26,170.739,2850423,17,1725452,1685.012
2026-04-13T22:48:27,171.813,2850423,17,1725392,1684.953
2026-04-13T22:48:28,172.867,2850423,17,1725392,1684.953
2026-04-13T22:48:29,173.918,2850423,17,1725328,1684.891
2026-04-13T22:48:30,174.968,2850423,17,1725320,1684.883
2026-04-13T22:48:31,176.021,2850423,17,1725280,1684.844
2026-04-13T22:48:32,177.072,2850423,17,1725280,1684.844
2026-04-13T22:48:33,178.126,2850423,17,1725324,1684.887
2026-04-13T22:48:34,179.177,2850423,17,1725324,1684.887
2026-04-13T22:48:35,180.224,2850423,17,1725356,1684.918
2026-04-13T22:48:36,181.281,2850423,17,1725340,1684.902
2026-04-13T22:48:37,182.348,2850423,17,1725396,1684.957
2026-04-13T22:48:38,183.400,2850423,17,1725428,1684.988
2026-04-13T22:48:39,184.482,2850423,17,1725460,1685.020
2026-04-13T22:48:41,185.535,2850423,17,1725464,1685.023
2026-04-13T22:48:42,186.595,2850423,17,1725464,1685.023
2026-04-13T22:48:43,187.651,2850423,17,1725464,1685.023
2026-04-13T22:48:44,188.744,2850423,17,1725464,1685.023
2026-04-13T22:48:45,189.800,2850423,17,1725464,1685.023
2026-04-13T22:48:46,190.856,2850423,17,1725464,1685.023
2026-04-13T22:48:47,191.910,2850423,17,1725464,1685.023
2026-04-13T22:48:48,192.965,2850423,17,1725464,1685.023
2026-04-13T22:48:49,194.033,2850423,17,1725436,1684.996
2026-04-13T22:48:50,195.090,2850423,17,1725476,1685.035
2026-04-13T22:48:51,196.143,2850423,17,1725476,1685.035
2026-04-13T22:48:52,197.197,2850423,17,1725476,1685.035
2026-04-13T22:48:53,198.250,2850423,17,1725404,1684.965
2026-04-13T22:48:54,199.326,2850423,17,1725344,1684.906
2026-04-13T22:48:55,200.371,2850423,17,1725428,1684.988
2026-04-13T22:48:56,201.447,2850423,17,1725472,1685.031
2026-04-13T22:48:57,202.495,2850423,17,1725440,1685.000
2026-04-13T22:48:59,203.583,2850423,17,1725440,1685.000
2026-04-13T22:49:00,204.644,2850423,17,1725472,1685.031
2026-04-13T22:49:01,205.696,2850423,17,1725472,1685.031
2026-04-13T22:49:02,206.750,2850423,17,1725508,1685.066
2026-04-13T22:49:03,207.802,2850423,17,1725508,1685.066
2026-04-13T22:49:04,208.856,2850423,17,1725508,1685.066
2026-04-13T22:49:05,209.898,2850423,17,1725540,1685.098
2026-04-13T22:49:06,210.968,2850423,17,1725576,1685.133
2026-04-13T22:49:07,212.033,2850423,17,1725576,1685.133
2026-04-13T22:49:08,213.089,2850423,17,1725572,1685.129
2026-04-13T22:49:09,214.139,2850423,17,1725544,1685.102
2026-04-13T22:49:10,215.190,2850423,17,1725536,1685.094
2026-04-13T22:49:11,216.243,2850423,17,1725536,1685.094
2026-04-13T22:49:12,217.294,2850423,17,1725504,1685.062
2026-04-13T22:49:13,218.344,2850423,17,1725508,1685.066
2026-04-13T22:49:14,219.395,2850423,17,1725376,1684.938
2026-04-13T22:49:15,220.445,2850423,17,1725376,1684.938
2026-04-13T22:49:16,221.499,2850423,17,1725448,1685.008
2026-04-13T22:49:18,222.583,2850423,17,1725480,1685.039
2026-04-13T22:49:19,223.635,2850423,17,1725512,1685.070
2026-04-13T22:49:20,224.690,2850423,17,1725548,1685.105
2026-04-13T22:49:21,225.745,2850423,17,1725548,1685.105
2026-04-13T22:49:22,226.791,2850423,17,1725580,1685.137
2026-04-13T22:49:23,227.852,2850423,17,1725580,1685.137
2026-04-13T22:49:24,228.900,2850423,17,1725548,1685.105
2026-04-13T22:49:25,229.950,2850423,17,1725516,1685.074
2026-04-13T22:49:26,231.025,2850423,17,1725552,1685.109
2026-04-13T22:49:27,232.103,2850423,17,1725512,1685.070
2026-04-13T22:49:28,233.178,2850423,17,1725520,1685.078
2026-04-13T22:49:29,234.251,2850423,17,1725520,1685.078
2026-04-13T22:49:30,235.314,2850423,17,1725520,1685.078
2026-04-13T22:49:31,236.381,2850423,17,1725488,1685.047
2026-04-13T22:49:32,237.433,2850423,17,1725488,1685.047
2026-04-13T22:49:33,238.498,2850423,17,1725416,1684.977
2026-04-13T22:49:35,239.545,2850423,17,1725408,1684.969
2026-04-13T22:49:36,240.595,2850423,17,1725408,1684.969
2026-04-13T22:49:37,241.644,2850423,17,1725412,1684.973
2026-04-13T22:49:38,242.718,2850423,17,1725356,1684.918
2026-04-13T22:49:39,243.799,2850423,17,1725380,1684.941
2026-04-13T22:49:40,244.847,2850423,17,1725380,1684.941
2026-04-13T22:49:41,245.893,2850423,17,1725412,1684.973
2026-04-13T22:49:42,246.955,2850423,17,1725428,1684.988
2026-04-13T22:49:43,248.024,2850423,17,1725396,1684.957
2026-04-13T22:49:44,249.094,2850423,17,1725500,1685.059
2026-04-13T22:49:45,250.148,2850423,17,1725472,1685.031
2026-04-13T22:49:46,251.204,2850423,17,1725472,1685.031
2026-04-13T22:49:47,252.258,2850423,17,1725472,1685.031
2026-04-13T22:49:48,253.308,2850423,17,1725472,1685.031
2026-04-13T22:49:49,254.354,2850423,17,1725408,1684.969
2026-04-13T22:49:50,255.411,2850423,17,1725512,1685.070
2026-04-13T22:49:51,256.502,2850423,17,1725576,1685.133
2026-04-13T22:49:53,257.577,2850423,17,1725544,1685.102
2026-04-13T22:49:54,258.671,2850423,17,1725576,1685.133
2026-04-13T22:49:55,259.754,2850423,17,1725576,1685.133
2026-04-13T22:49:56,260.810,2850423,17,1725576,1685.133
2026-04-13T22:49:57,261.923,2850423,17,1725576,1685.133
2026-04-13T22:49:58,262.988,2850423,17,1725576,1685.133
2026-04-13T22:49:59,264.065,2850423,17,1725512,1685.070
2026-04-13T22:50:00,265.149,2850423,17,1725480,1685.039
2026-04-13T22:50:01,266.192,2850423,17,1725480,1685.039
2026-04-13T22:50:02,267.244,2850423,17,1725512,1685.070
2026-04-13T22:50:03,268.288,2850423,17,1725408,1684.969
2026-04-13T22:50:04,269.339,2850423,17,1725440,1685.000
2026-04-13T22:50:05,270.388,2850423,17,1725408,1684.969
2026-04-13T22:50:06,271.438,2850423,17,1725396,1684.957
2026-04-13T22:50:07,272.479,2850423,17,1725440,1685.000
2026-04-13T22:50:09,273.533,2850423,17,1725440,1685.000
2026-04-13T22:50:10,274.586,2850423,17,1725332,1684.895
2026-04-13T22:50:11,275.647,2850423,17,1725368,1684.930
2026-04-13T22:50:12,276.716,2850423,17,1725404,1684.965
2026-04-13T22:50:13,277.784,2850423,17,1725372,1684.934
2026-04-13T22:50:14,278.839,2850423,17,1725404,1684.965
2026-04-13T22:50:15,279.910,2850423,17,1725508,1685.066
2026-04-13T22:50:16,280.961,2850423,17,1725480,1685.039
2026-04-13T22:50:17,282.022,2850423,17,1725512,1685.070
2026-04-13T22:50:18,283.083,2850423,17,1725460,1685.020
2026-04-13T22:50:19,284.164,2850423,17,1725512,1685.070
2026-04-13T22:50:20,285.292,2850423,17,1725512,1685.070
2026-04-13T22:50:21,286.381,2850423,17,1725480,1685.039
2026-04-13T22:50:22,287.471,2850423,17,1725480,1685.039
2026-04-13T22:50:23,288.518,2850423,17,1725516,1685.074
2026-04-13T22:50:25,289.564,2850423,17,1725516,1685.074
2026-04-13T22:50:26,290.649,2850423,17,1725484,1685.043
2026-04-13T22:50:27,291.719,2850423,17,1725484,1685.043
2026-04-13T22:50:28,292.779,2850423,17,1725488,1685.047
2026-04-13T22:50:29,293.833,2850423,17,1725456,1685.016
2026-04-13T22:50:30,294.884,2850423,17,1725496,1685.055
2026-04-13T22:50:31,295.939,2850423,17,1725496,1685.055
2026-04-13T22:50:32,296.990,2850423,17,1725528,1685.086
2026-04-13T22:50:33,298.074,2850423,17,1725548,1685.105
2026-04-13T22:50:34,299.154,2850423,17,1725516,1685.074
2026-04-13T22:50:35,300.210,2850423,17,1725528,1685.086
2026-04-13T22:50:36,301.268,2850423,17,1725500,1685.059
2026-04-13T22:50:37,302.327,2850423,17,1725532,1685.090
2026-04-13T22:50:38,303.378,2850423,17,1725532,1685.090
2026-04-13T22:50:39,304.428,2850423,17,1725532,1685.090
2026-04-13T22:50:40,305.472,2850423,17,1725500,1685.059
2026-04-13T22:50:41,306.511,2850423,17,1725532,1685.090
2026-04-13T22:50:43,307.614,2850423,17,1725500,1685.059
2026-04-13T22:50:44,308.686,2850423,17,1725500,1685.059
2026-04-13T22:50:45,309.735,2850423,17,1725564,1685.121
2026-04-13T22:50:46,310.795,2850423,17,1725532,1685.090
2026-04-13T22:50:47,311.842,2850423,17,1725532,1685.090
2026-04-13T22:50:48,312.894,2850423,17,1725532,1685.090
2026-04-13T22:50:49,313.944,2850423,17,1725504,1685.062
2026-04-13T22:50:50,315.021,2850423,17,1725432,1684.992
2026-04-13T22:50:51,316.093,2850423,17,1725432,1684.992
2026-04-13T22:50:52,317.149,2850423,17,1725464,1685.023
2026-04-13T22:50:53,318.200,2850423,17,1725460,1685.020
2026-04-13T22:50:54,319.255,2850423,17,1725532,1685.090
2026-04-13T22:50:55,320.312,2850423,17,1725536,1685.094
2026-04-13T22:50:56,321.363,2850423,17,1725568,1685.125
2026-04-13T22:50:57,322.413,2850423,17,1725572,1685.129
2026-04-13T22:50:58,323.458,2850423,17,1725572,1685.129
2026-04-13T22:50:59,324.503,2850423,17,1725572,1685.129
2026-04-13T22:51:01,325.574,2850423,17,1725540,1685.098
2026-04-13T22:51:02,326.637,2850423,17,1725508,1685.066
2026-04-13T22:51:03,327.689,2850423,17,1725476,1685.035
2026-04-13T22:51:04,328.738,2850423,17,1725416,1684.977
2026-04-13T22:51:05,329.794,2850423,17,1725480,1685.039
2026-04-13T22:51:06,330.864,2850423,17,1725468,1685.027
2026-04-13T22:51:07,331.918,2850423,17,1725512,1685.070
2026-04-13T22:51:08,332.967,2850423,17,1725512,1685.070
2026-04-13T22:51:09,334.014,2850423,17,1725544,1685.102
2026-04-13T22:51:10,335.067,2850423,17,1725616,1685.172
2026-04-13T22:51:11,336.118,2850423,17,1725648,1685.203
2026-04-13T22:51:12,337.176,2850423,17,1725664,1685.219
2026-04-13T22:51:13,338.256,2850423,17,1725600,1685.156
2026-04-13T22:51:14,339.342,2850423,17,1725592,1685.148
2026-04-13T22:51:15,340.439,2850423,17,1725596,1685.152
2026-04-13T22:51:16,341.501,2850423,17,1725628,1685.184
2026-04-13T22:51:18,342.570,2850423,17,1725628,1685.184
2026-04-13T22:51:19,343.628,2850423,17,1725628,1685.184
2026-04-13T22:51:20,344.679,2850423,17,1725660,1685.215
2026-04-13T22:51:21,345.735,2850423,17,1725660,1685.215
2026-04-13T22:51:22,346.789,2850423,17,1725660,1685.215
2026-04-13T22:51:23,347.840,2850423,17,1725656,1685.211
2026-04-13T22:51:24,348.889,2850423,17,1725580,1685.137
2026-04-13T22:51:25,349.943,2850423,17,1725596,1685.152
2026-04-13T22:51:26,351.001,2850423,17,1725596,1685.152
2026-04-13T22:51:27,352.043,2850423,17,1725604,1685.160
2026-04-13T22:51:28,353.092,2850423,17,1725572,1685.129
2026-04-13T22:51:29,354.137,2850423,17,1725640,1685.195
2026-04-13T22:51:30,355.197,2850423,17,1725612,1685.168
2026-04-13T22:51:31,356.241,2850423,17,1725612,1685.168
2026-04-13T22:51:32,357.291,2850423,17,1725612,1685.168
2026-04-13T22:51:33,358.345,2850423,17,1725652,1685.207
2026-04-13T22:51:34,359.390,2850423,17,1725684,1685.238
2026-04-13T22:51:35,360.454,2850423,17,1725688,1685.242
2026-04-13T22:51:36,361.518,2850423,17,1725676,1685.230
2026-04-13T22:51:38,362.561,2850423,17,1725740,1685.293
2026-04-13T22:51:39,363.612,2850423,17,1725740,1685.293
2026-04-13T22:51:40,364.653,2850423,17,1725740,1685.293
2026-04-13T22:51:41,365.713,2850423,17,1725740,1685.293
2026-04-13T22:51:42,366.796,2850423,17,1725704,1685.258
2026-04-13T22:51:43,367.901,2850423,17,1725776,1685.328
2026-04-13T22:51:44,368.976,2850423,17,1725744,1685.297
2026-04-13T22:51:45,370.075,2850423,17,1725776,1685.328
2026-04-13T22:51:46,371.126,2850423,17,1725776,1685.328
2026-04-13T22:51:47,372.176,2850423,17,1725704,1685.258
2026-04-13T22:51:48,373.234,2850423,17,1725672,1685.227
2026-04-13T22:51:49,374.323,2850423,17,1725704,1685.258
2026-04-13T22:51:50,375.372,2850423,17,1725704,1685.258
2026-04-13T22:51:51,376.421,2850423,17,1725676,1685.230
2026-04-13T22:51:52,377.474,2850423,17,1725676,1685.230
2026-04-13T22:51:53,378.527,2850423,17,1725616,1685.172
2026-04-13T22:51:55,379.575,2850423,17,1725580,1685.137
2026-04-13T22:51:56,380.626,2850423,17,1725580,1685.137
2026-04-13T22:51:57,381.676,2850423,17,1725612,1685.168
2026-04-13T22:51:58,382.750,2850423,17,1725684,1685.238
2026-04-13T22:51:59,383.835,2850423,17,1725684,1685.238
2026-04-13T22:52:00,384.905,2850423,17,1725684,1685.238
2026-04-13T22:52:01,385.982,2850423,17,1725716,1685.270
2026-04-13T22:52:02,387.028,2850423,17,1725716,1685.270
2026-04-13T22:52:03,388.096,2850423,17,1725716,1685.270
2026-04-13T22:52:04,389.151,2850423,17,1725716,1685.270
2026-04-13T22:52:05,390.200,2850423,17,1725748,1685.301
2026-04-13T22:52:06,391.241,2850423,17,1725748,1685.301
2026-04-13T22:52:07,392.287,2850423,17,1725780,1685.332
2026-04-13T22:52:08,393.342,2850423,17,1725748,1685.301
2026-04-13T22:52:09,394.385,2850423,17,1725728,1685.281
2026-04-13T22:52:10,395.432,2850423,17,1725660,1685.215
2026-04-13T22:52:11,396.509,2850423,17,1725664,1685.219
2026-04-13T22:52:13,397.575,2850423,17,1725664,1685.219
2026-04-13T22:52:14,398.649,2850423,17,1725600,1685.156
2026-04-13T22:52:15,399.703,2850423,17,1725520,1685.078
2026-04-13T22:52:16,400.753,2850423,17,1725488,1685.047
2026-04-13T22:52:17,401.811,2850423,17,1725488,1685.047
